Study,Mean_Treatment,SD_Treatment,N_Treatment,Mean_Control,SD_Control,N_Control
"Perraudeau, 2020",-0.167,0.622,21,0.156,0.6,16
"Palacios, 2020",-0.2,0.6,30,0.1,0.7,30
"Kanazawa, 2021",0.34,2.24,42,0.14,1.48,44
"Zikou, 2023",-1.39,1.08,46,-0.28,0.96,45
"Gomez Perez, 2024",-0.53,1.52,7,1.28,2.42,7
"Peng, 2024",-0.97,0.263,103,-0.9,0.22,110
"Zhang, 2025",-1.4,1.31,40,-0.63,1.49,40
"Sahin, 2022",-2,3.7,66,0.11,1.93,66
"Hata et al, 2022",-0.11,1.4,28,0.11,1.2,25
"Mirjalili, 2023",-1.09,1.62,36,-0.23,1.34,36
"Cuthill, 2025",5.25,0.47,21,5.23,9.54,18
"Savytska, 2024",-1.63,2.45,24,-0.41,2.7,24
"Jiang, 2021",-2.87,4.26,42,-1.05,4.93,34
"Su, 2022",0.3,2.99,8,-2.9,4.06,5
"Ming, 2022",-0.42,0.45,49,0.13,0.33,99
"Horvath, 2020",0.61,1.94,12,-0.61,1.64,14
"Kobyliak, 2018",-0.78,0.78,22,-0.06,0.63,22
"Firouzi, 2017",-0.1,1.5,48,0.3,2.1,53
"Firouzi, 2017",-0.3,1.7,48,0.1,2.2,53
"Khalili, 2019",-1.58,1.4,20,0.07,0.55,20
"Hsieh, 2018",-0.02,1.77,22,-0.58,2.94,22
"Sato, 2017",7.32,1.34,34,7.23,1.67,34
"Sato, 2017",7.39,1.2,34,7.62,1.76,34
"Asemi, 2016",-0.09,2.43,51,0.2,1.95,51
"Mobini, 2017",-1.6,5.08,14,0,4.76,15
"Feizollahzadeh, 2017",-0.06,1.19,20,-0.06,1.16,20
"Raygan, 2018",-0.35,1.47,30,-0.14,0.99,30
"Madempudi, 2019",-1.18,3.07,40,-0.16,3.71,40
"Raygan, 2019",-0.7,3.45,27,-0.11,3.44,27
"Chang, 2016",-2.6,4.1,41,-0.7,4.39,39
"Sabico, 2019",-4.85,2.21,31,0.9,1.77,30
"Mafi, 2018",-1.3,2.2,30,0.07,1.8,30
