Study,Mean_Treatment,SD_Treatment,N_Treatment,Mean_Control,SD_Control,N_Control
"Perraudeau et al., 2020",-0.2,0.2,21,0.4,0.2,16
"Zhang et al., 2020",7.23,0.97,106,6.62,0.66,103
"Palacios et al., 2020",-0.2,0.5,30,0.1,0.3,30
"Kanazawa et al., 2021",0.2,0.8,42,0.1,0.5,44
"Zikou et al., 2023",-0.73,0.42,46,-0.14,0.46,45
"Gomez Perez et al., 2024",0.14,0.63,7,-0.26,0.34,7
"Peng et al., 2024",-0.44,0.12,103,-0.33,0.094,110
"Zhang et al., 2025",-0.31,0.67,40,0.13,0.6,40
"Sahin et al., 2022",0.9,0.89,66,0.4,1.19,66
"Hata et al, 2022",-0.9,0.6,40,-0.4,0.7,40
"Mirjalili et al., 2023",-0.76,1.3,36,-0.15,1.3,36
"Cuthill et al., 2025",0.1,0.84,65,0,0.63,65
"Savytska et al., 2024",-0.41,0.52,24,0.26,0.45,24
"Jiang et al., 2021",-0.87,2,42,-0.33,2.36,34
"Su et al., 2022",-1,1.49,8,-0.7,2.33,5
"Ming et al., 2022",-0.22,0.2,49,0,0.15,99
"Horvath et al., 2020",0.27,1.39,12,0.18,0.91,14
"Kobyliak et al., 2018",-0.24,0.26,31,-0.09,0.35,22
"Tonucci et al., 2017",-0.67,1.63,22,0.11,1.33,23
"Firouzi et al., 2017",-0.14,0.62,48,0.02,0.56,53
"Firouzi et al., 2017",-0.14,0.41,48,-0.01,0.41,53
"Khalili et al., 2019",-0.24,0.53,20,0.08,0.27,20
"Hsieh et al., 2018",-0.39,0.8,22,0.22,0.87,22
"Sato et al., 2017",6.9,0.6,34,6.9,0.5,34
"Sato et al., 2017",7.1,0.7,34,6.9,0.5,34
"Mobini et al., 2017",0.1,1.22,14,0,0.78,15
"Madempudi et al., 2019",-0.5,0.79,40,0.4,1.35,40
"Mafi et al., 2018",-0.1,0.2,30,-0.003,0.1,30
